stage_classifiercode,division,division_short_name,hhf,last_changed
18-01,PRODUCTION,PROD,4.8952,2022-03-01 21:38:06.000000 UTC
18-01,PCC,PCC,6.8799,2022-03-01 21:41:09.000000 UTC
18-01,LIMITED,LTD,5.2822,2022-03-01 21:37:20.000000 UTC
18-01,OPEN,OPN,6.112,2022-03-01 21:37:05.000000 UTC
18-01,REVOLVER,REV,3.4664,2019-05-01 09:41:55.000000 UTC
18-01,SINGLE STACK,SS,5.0537,2022-03-01 21:38:39.000000 UTC
18-02,SINGLE STACK,SS,6.4892,2022-03-01 21:38:38.000000 UTC
18-02,OPEN,OPN,8.6525,2022-03-01 21:37:07.000000 UTC
18-02,PCC,PCC,8.6539,2022-03-01 21:40:54.000000 UTC
18-02,REVOLVER,REV,4.4944,2022-03-01 21:38:23.000000 UTC
18-02,LIMITED 10,L10,7.0355,2019-05-01 09:43:26.000000 UTC
18-02,PRODUCTION,PROD,6.573,2022-03-01 21:38:01.000000 UTC
18-02,CARRY OPTICS,CO,7.4876,2022-03-01 21:38:49.000000 UTC
18-02,LIMITED,LTD,7.0355,2019-05-01 09:41:55.000000 UTC
18-03,SINGLE STACK,SS,7.684,2022-03-01 21:38:45.000000 UTC
18-03,LIMITED,LTD,8.0502,2022-03-01 21:37:22.000000 UTC
18-03,CARRY OPTICS,CO,7.4753,2019-05-01 09:43:26.000000 UTC
18-03,REVOLVER,REV,5.7255,2022-03-01 21:38:26.000000 UTC
18-03,OPEN,OPN,8.4484,2022-03-01 21:36:58.000000 UTC
18-03,LIMITED 10,L10,7.7734,2019-05-01 09:43:26.000000 UTC
18-03,PRODUCTION,PROD,7.4753,2019-05-01 09:41:55.000000 UTC
18-03,PCC,PCC,8.9519,2022-03-01 21:41:48.000000 UTC
18-04,OPEN,OPN,7.5401,2022-03-01 21:37:03.000000 UTC
18-04,LIMITED 10,L10,6.5755,2019-05-01 09:43:26.000000 UTC
18-04,SINGLE STACK,SS,6.0507,2022-03-01 21:38:43.000000 UTC
18-04,PRODUCTION,PROD,6.1047,2022-03-01 21:38:04.000000 UTC
18-04,REVOLVER,REV,4.4639,2022-03-01 21:38:17.000000 UTC
18-04,LIMITED,LTD,6.7427,2022-03-01 21:37:27.000000 UTC
18-04,CARRY OPTICS,CO,6.6339,2022-03-01 21:38:56.000000 UTC
18-04,PCC,PCC,7.5977,2022-03-01 21:41:15.000000 UTC
18-05,SINGLE STACK,SS,8.3364,2018-11-20 00:00:00.000000 UTC
18-05,LIMITED 10,L10,9.4483,2019-05-01 09:43:26.000000 UTC
18-05,OPEN,OPN,10.9085,2018-11-20 00:00:00.000000 UTC
